"No","City","Restaurant","Review"
"1","chennai","The Madras Taproom","The quantity is very less, can’t even ask them to serve as the quantity is exactly what can be served to one individual"
"2","chennai","The Madras Taproom","amazing ambience,Hamidul service was very good awesome food and fantastic place ?"
"3","chennai","The Madras Taproom","Enjoyed a lot…Good embience and good vibe.. Prashant is a very helpful and loved the place"
"4","chennai","The Madras Taproom","zaira was top notch she provide us a very comfortable seat"
"5","chennai","The Madras Taproom","Had ordered Honey Chilli Lotus Stem and an hour had passed by but still the order was not received, upon asking they kept saying the order will be here in 2 minutes. Never faced any issue here in my previous visits but this time it was awful. The waiters were not responding well and in the end even though we had not received our order it was still charged in the bill. Very much disappointed with the service provided."
"6","chennai","SOS - Same Old Story","Aatowar ali had done a great service thank u so much .......will visit again ...."
"7","chennai","SOS - Same Old Story","I was really disappointed with my visit to this bar. I ordered cocktails expecting the ingredients listed on the menu, but what I got was completely different. Instead of the quality spirits advertised, they used much cheaper alcohol without saying anything. It feels dishonest and left me feeling cheated. If you care about what’s in your drink, be cautious—what’s written on the menu isn’t what you actually get. I’d strongly suggest double-checking before ordering cocktails here."
"8","chennai","SOS - Same Old Story","worst place to go
they don't have enough seats and we were two people and they just took a table and kept it near the door .
so worst experience"
"9","chennai","SOS - Same Old Story","? 1 Star Review: Extremely Unprofessional & Disrespectful Staff – Avoid at All Costs

Absolutely disgusted with the behavior at this establishment. After settling our bill in full, we were shocked to be treatedg with such disrespect by the staff — especially the manager and team, who acted with no sense of professionalism or accountability.

To make matters worse, once the police arrived around 10pm , the staff began treating us as if we were criminals. It was humiliating and completely uncalled for. There was no justification for such behavior, and the situation was handled in the worst possible way.

It’s clear that the management lacks proper training in hospitality and crisis...read more"
"10","chennai","SOS - Same Old Story","Highly disappointed... Poor quality of food... Expensive for no reason... Please avoid"
"11","chennai","The Summer House Eatery","The Summer House Eatery is impressive - the ambience, vibe and the food is all pleasant. The staff is attentive and friendly, yet the whole staff should be well-versed with the menu.

Parmesan Garlic Fries ? is the delightful snack while awaiting the rest of the order. Chicken Gyoza is a kid friendly starter ? The Chicken Club Sandwich is padded with grilled chicken breast, egg and nourishing vegetables . A perfect coffee companion ! Nasi Goreng is a rice bowl stirred through with bell peppers, served along mini chicken skewers. A hearty main meal! The signature sips is average.

The eatery has a fine menu for coffee and tea."
"12","chennai","The Summer House Eatery","Food is tasty but gave us discomfort in the stomach right after we left the place. Our stomach got so upset. There are many good cafes in Chennai don’t waste time and money on this . Worst experience ever"
"13","chennai","The Summer House Eatery","The food was good but the service was next level! We ate the summer salad, buttered mushrooms, thai green curry and char kway teow- one of the best salads I’ve ever had - the rest was good but not amazing…

The service was genuinely next level! Their team went out of their way to ensure a positive dining experience for us! Mr. Saravanan- the manager was particularly helpful with tips on what’s good- special kudos to him."
"14","chennai","The Summer House Eatery","Wild mushroom & cappuccino soup is a top notch?? had 6 types of food. All are excellent, tasty & a Lovely presentation?
Made my day.. excited?"
"15","chennai","Noci Restobar","Harish is an excellent bartender"
"16","chennai","Noci Restobar","been to noci on my birthday. best service by damodaran."
"17","chennai","Noci Restobar","Good ambience and awesome food everything looked and tasted really well.. Mr Harish was the one with the service and he really did a great job ??"
"18","chennai","Noci Restobar","Awesome food and service good work. Mr harish’s service was good."
"19","chennai","Noci Restobar","Located right in the center of Chennai inside Express Avenue Mall, Noci Resto Bar is the perfect place for a relaxing and tasty lunch. The food is absolutely fantastic – fresh, flavorful, and well-presented. Whether you're craving Indian classics or something continental, the menu has great variety.

The service is top-notch. The staff are friendly, quick, and make sure you have a great experience every time.

With its stylish ambience and central location, Noci is ideal for office-goers, shoppers, and foodies looking for quality and comfort during lunchtime.

Definitely a must-visit lunch destination in Chennai!"
"20","chennai","Khaas - The Elevated Indian Kitchen & Bar","It was a wonderful experience

Really like the service

Special mention to Mr Jack"
"21","chennai","Khaas - The Elevated Indian Kitchen & Bar","Refused to accept District app booking. Please don't book through the app"
"22","chennai","Khaas - The Elevated Indian Kitchen & Bar","Really disappointing experience. Prawns were rubbery, fish barely cooked through. Food tasted off, like something was just thrown together. The server kept insisting on dishes we clearly didn’t want and kept pushing, almost forcing the order. And of course, those turned out to be the worst ones on the table.

When we mentioned we didn’t like the food, he just vanished,no apology, no check-in, nothing. Felt like we were left to deal with a bad meal and worse service.

Definitely not a place I’d recommend."
