No,City,Restaurant,Review
1,Coimbatore,Barbeque Nation,Niyamat Ali his service to us is very good and best for us . thank you for the service
2,Coimbatore,Barbeque Nation,The service was excellent
3,Coimbatore,Barbeque Nation,Vikram Senthil S
4,Coimbatore,Barbeque Nation,"They cancelled our billing on easy-diner just because they did not want to pass the discount and gave us some stupid reason online link not working. The food overall is terrible. Few things were good , one dish per course."
5,Coimbatore,Barbeque Nation,Customer service was excellent. Delicious food and nice ambience. Biswanath was our service person. Excellent patient service done by him.
6,Coimbatore,Bulls & Bears Bistro,"I don't know what Harshita saw in this place, her review was misleading. Suresh was disappointed. Desserts were amazing. Lasagna was not. Burgers were filling. Reasonable price. Must try."
7,Coimbatore,Bulls & Bears Bistro,Lamb shanks were top notch.
8,Coimbatore,Bulls & Bears Bistro,"The beverages and the food, both were very good. We sat to work out of here for a few hours and I would say it was a good decision, we were comfortable throughout. We had a cold brew and a Biscoff cold coffee, both were good. In short the quality of the coffee is great and the staff are very courteous as well!!"
9,Coimbatore,Bulls & Bears Bistro,Great food! Lotus Biscoff Milkshake was too good...Must try!
10,Coimbatore,The Edition - Library Bar - The Residency Hotel,One of the most expensive bar in City..a beer cost is 900 ..they charge 5% Service charge 14.5% VAT plus 18% GST all together a whooping cost for a beer Rs 900.. Going to food side they provide only Chinese sides and cant keep it in mouth worthless taste and there is no Indian sides in this bar..This bar is only running for foreigners in dollars
11,Coimbatore,The Edition - Library Bar - The Residency Hotel,"I am surprised this place has 4.4 stars!

There are 5 options in veg. Similar issue with nin veg as well.
The cottage cheese is the worst I have had in my lifetime.
Who even cooks a sweet dish in a bar as a starter?
If paneer is sweet, I can only imagine how the other dishes would fare.

I asked for some spicy sauce, I got a Schezwan sauce.
To my surprise there is no spice whatsoever in that either
My wife gulpled it like it's her regular del Monte ketchup and she has 0 tolerance for spice.

The management needs to look at what the hell is wrong with the chef! Utter disappointment.

Beer options are limited as well.

All hype and no quality.

P.S. atleast the complimentary peanuts could...read more"
12,Coimbatore,The Edition - Library Bar - The Residency Hotel,"I really liked the place so much. Good service, tasty yummy food and the drinks were awesome too. Must visit"
13,Coimbatore,Bread Korner,"Not accepted payments from Zomato. Bluntly refused. If not accepting, shd Not come under offer zone"
14,Coimbatore,Bread Korner,This has been a favorite hangout spot from my tuition days ... Now even after 4 years the taste is still the same and well maintained ... Burgers and pizzas are the ones most recommended .. Cheers to Gowtham for his hardwork ..
15,Coimbatore,Bread Korner,Navpreet Kaur Oberoi
16,Coimbatore,Bread Korner,Awsm shawarma...best shawarma in South India...loved chicken sandwich... delicious taste from the first bite. Do try the food here. You cant resist to be back here again.??
17,Coimbatore,CakeBee,"Hard to digest price for this low quantity. Especially on plum cake the pic I uploaded size is too small.
Thanks"
18,Coimbatore,CakeBee,Their pink color macaron was good but their green also okay but their yellow colour macaron was worst taste
19,Coimbatore,Sri Krishna Sweets,DOUGLAZ EDWARD CULAS
20,Coimbatore,Sri Krishna Sweets,Sweets are good. Rate is higher. Quality is good. Famous for musorpa. Milk sweets rate are high. The taste will be good. Savories also tasted great
21,Coimbatore,Sri Krishna Sweets,Never had a negative experience with Sri Krishna Sweets. Always keeps the quality to the highest of what they can. Really superb. Better than other rivalries in Coimbatore.
22,Coimbatore,The Living Room,they could easily handled the matter of not considering two males as couple with dignity but they lied to district by saying they cancelled because they were full . that is the exact reason which pissed me off.. if you are trying to be an open minded classy place in Coimbatore at least train your people to handle issues with mindfulness and no one will get pissed even if you want only certain type of people in your restaurant
23,Coimbatore,The Living Room,So we phoned in to book a table for 2. And they straight away rejected stating they dont let stags. lol. I was visiting Coimbatore and wanted to catch up with a friend for brunch. Ive seen places charging a cover fee which is redeemed later but this was a straight rejection. No wonder ppl hate clubs and pubs in Coimbatore. Such a shame and to ppl who want to book a slot on Zomato. Do not waste your money.
24,Coimbatore,The Living Room,"Great experience overall! The ambience was lovely, the food was awesome and the place was clean and well-maintained. Hospitality at its best.

When I visited, it started raining  but the staff quickly informed customers and efficiently shifted tables from the open area to accommodate everyone inside. Their prompt action and care truly stood out.

Valet parking is available, and they offer good vegetarian options too. Definitely a must-try spot!"
25,Coimbatore,The Living Room,"Very Good service from Mr.Saravanan
Orders were in time ???"
26,Coimbatore,The Living Room,"The food is extremely spicy and greasy.. we couldnt eat anything properly cos of the spice level.. whom are they catering for? Themselves? they should at least ask what spice level u take.. the only thing good was the soup, rest was just an infusion of spices.. not recommended"
27,Coimbatore,Valarmathi Kongunaatu Samayal,"Had to wait 30-45 mins at 9 pm to get inside. The line was huge even for getting a seat of 2 so I thought that the food would be off the charts. Boy, was I so wrong! The chicken biriyani, I couldn't finish it because the meat tasted fishy (a huge problem outside WB I have seen- especially in Southern States. I mean I come from a coastal state too and our chicken tastes like plain chicken and fish like fish. Why should either taste like the other? Keep it clean, make it clean). The kothu parotta was average at best and the only great find was onion podi uthappam."
28,Coimbatore,Valarmathi Kongunaatu Samayal,"One of the best restaurants in coimbatore for local cuisine. visited this place after seeing some positive reviews. we ordered parota, Mutton chukka, Chicken Pallipalayam, Mutton kheema ball and Mutton biriyani, the food was exceptionally good except for Mutton chukka, which was ok. Super fast service and food is reasonably priced."
29,Coimbatore,Valarmathi Kongunaatu Samayal,"today nattu Koli varuval was very bad experience to me, it's not boiled, i through it, very very sad day to me,"
30,Coimbatore,Valarmathi Kongunaatu Samayal,Visited this place for the first time. ordered mutton biryani and parotta. loved the taste. worth the hype and price. Service was very quick.must visit place
31,Coimbatore,Famous Biryani House,"Taste and quality of food is top notch.
The people are very courteous and will suggest you their fast moving and bestsellers.
More than the food I liked the freshly made salad/raitha.
The food was really good and was really worth the money. Will recommend this place to my friends and family?"
32,Coimbatore,Famous Biryani House,One of the best place for fast biriyani. Sankarankoil Mutton Biriyani is an dish to taste out there!
33,Coimbatore,Mufasa,"over hyped food is below average ,but not given what we expect"
34,Coimbatore,Mufasa,The food was excellent and the ambience was really good. godwin very polite service and so friendly thanks to mufasa
35,Coimbatore,Mufasa,food and service was excellent siva service was excellent and tnx for suggesting menu and drink. thank to mufasa
36,Coimbatore,Mufasa,Excellent food and service by elaya kumar he is very polite and friendly thanks to mufasa
37,Coimbatore,Mufasa,The service was excellent given by cartwheen podi idly and the cocktail parotta was excellent.. thanks to mufasa
38,Coimbatore,Chin Chin - The Residency Hotel,"RECEIVED THE WORST SERVICE EVER POSSIBLE BY A RESTAURANT at Chin Chin, Coimbatore


Chin Chin has been a regular place for us since so many years. However in the recent visits, the service and quality has degraded, but was at least acceptable, until today.

We had a group booking today for an occasion. Since we were a group, to make things simpler, we ordered most of the dishes a few days in advance itself, through the manager. So we ordered only a very few additional dishes on the day.

Few of the starters were served, and then they brought the main course. When we asked what happened to the remaining starters which were ordered previously itself, the waiter, Mr. Vinod, claimed...read more"
39,Coimbatore,Chin Chin - The Residency Hotel,"Went there Thursday night with my office team. To my surprise the place was bustling with people. Service was decent. However, to describe the food quality i have no other word than ""horrible"". The meat tasted weird, like it was stale. Every single dish was deep fried, in I don't know which kinda oil, so it made your throat hurt. Most of the ordered dishes tasted similar. In today's times, the menu, chef and recipes all require an urgent upgrade."
40,Coimbatore,Chin Chin - The Residency Hotel,Anish Mathew Samuel
41,Coimbatore,Chin Chin - The Residency Hotel,"Wonderful lunch at Chin Chin great hospitality great food lovely service nice and clean and neat all was good except the Tom yum prawn soup it was a disaster but everything else was divine great work Team Chin Chin & Residency very nice front office staff Jeeva who remembered us from our previous visit thank you ?

Chef Anish Samuel"
