"No","City","Restaurant","Review"
"1","Hyderabad","Okra - Hyderabad Marriott Hotel & Convention Centre","hopeless restaurant with cold food"
"2","Hyderabad","Okra - Hyderabad Marriott Hotel & Convention Centre","service very slow.. desserts are placed very far away , more number of desserts than starters"
"3","Hyderabad","Okra - Hyderabad Marriott Hotel & Convention Centre","Extremely sad to have visited this place. Very bad food quality, taste and service. Rather I would say pathetic SERVICE. Do not visit here if you think its a 5 star hotel and hygiene will be good. I have been to various not so 5 star plxes to eat and trust me they are atleast 10 times better."
"4","Hyderabad","Okra - Hyderabad Marriott Hotel & Convention Centre","I made a reservation 24 hours in advance and travelled 25 kms with my family to celebrate my brother's birthday.Despite showing the booking id we were said no table was available and no waiting time can guarantee the same.Never seen such clueless staff and I'll managed restaurant ton a 5 star. This should definitely be avoided -courtesy of the incompetent staff.

0 star"
"5","Hyderabad","Okra - Hyderabad Marriott Hotel & Convention Centre","Just_for_food, By Abdul Taiyeb"
"6","Hyderabad","Okra - Hyderabad Marriott Hotel & Convention Centre","I recently indulged in the Sunday brunch at Okra, Marriott Hyderabad, and it was an overall delightful experience with a few minor areas for improvement.

Food
The food spread was impressive, offering a fine selection of cuisines to suit various palates. From Indian classics to international favorites, the options were satisfying. However, the real stars of the brunch were the desserts. The cheesecake, in particular, was exceptional—rich, creamy, and perfectly balanced. It’s a dessert lover’s dream and truly a highlight of the meal.

Service
The service during the brunch was above average but not quite up to the mark of excellence. While the staff was courteous and responsive, a bit...read more"
"7","Hyderabad","RAEN - The Leela","Raen – The Chef’s Studio had a warm, welcoming vibe, with a special chef-curated setup. We went there especially because Chef Vijaya Raghavan had introduced the Pandya Virundhu menu for a limited time. It was a 5-course Madurai-style feast, and every dish kept raising the bar for the one that followed.
The dessert, without doubt, was the showstopper – the best of them all.
Service by Vamshi was excellent. Highly recommend, and we’ll definitely be back at Raen soon."
"8","Hyderabad","RAEN - The Leela","My husband, sister in law and I had visited Raen the first time during a Assamese fest. We took a set menu to taste the food and we repeated almost all dishes at least once if not twice. Today we got my father in law and mother in law for the Bengali cuisine and it was so disappointing.Excw0t for the sorbet, chana er paturi and chingri & bhetki kabiraji, none of dishes were good. The service was very poor and I regret bringing my folks here. Not worth it."
"9","Hyderabad","RAEN - The Leela","Visited on my colleagues recommendation for swat e Hyderabadi menu at chef aziz pop up finally tasted proper nizami flavours"
"10","Hyderabad","RAEN - The Leela","the food was absolutely perfect and the ambience was also was also perfect it suits for perfect date"
"11","Hyderabad","RAEN - The Leela","if you’re looking for a quiet spot for a special dinner, Raen is a great choice"
"12","Hyderabad","Bourbon & Breeze Rooftop Bar & Kitchen","Reached here for lunch, couldnt even get Dal Tadka. What a disappointment."
"13","Hyderabad","Bourbon & Breeze Rooftop Bar & Kitchen","Good place for Sunset"
"14","Hyderabad","Bourbon & Breeze Rooftop Bar & Kitchen","The food was delicious and the best restaurant for the family"
"15","Hyderabad","Bourbon & Breeze Rooftop Bar & Kitchen","food was good and the ambience was cool"
"16","Hyderabad","Butterfly High","We had ordered the veg platter …didn’t like the starters much.
Only Paneer tikka and cigar rolls were good"
"17","Hyderabad","Butterfly High","Fun place for dinner with a unique menu that blends local and global flavors in interesting ways.

The ambience was lively and welcoming, and the cocktails were very well mixed.

It’s definitely the kind of spot where you’re better off exploring the menu yourself to find the creative dishes rather than relying on standard recommendations ( our waiter recommended the basic stuff ) A great choice if you’re looking for something a little fun and different!"
"18","Hyderabad","Butterfly High","Worst food and service till now"
"19","Hyderabad","Butterfly High","Special thanks to Ankit for serving us today. He served us amazing food. The sushi was amazing from Kyma. Special thanks to the awesome hospitality"
"20","Hyderabad","Butterfly High","Hospitality by ankit was lovely"
"21","Hyderabad","Jolly Bros & Co.","Met with friends at Jolly Bros for dinner. The place was not crowded. It had a quaint feel to it. It has an indoors and a covered outdoors. We sat outdoors as the weather was pleasant. We ordered
Chicken 65 - it was too spicy for me to enjoy.
Mutton pudina sheekh - this was also too spicy. Couldn't finish even one sheekh piece.
Amritsari Chicken fingers - this was good. The fish was juicy on the inside and it had just the right amount of batter.
Mumbai masala papad - my vegetarian friend enjoyed it
Subz miljuli - this was good.
Jolly ki roti - these came fluffy and hot. My friends wanted them kadak and they were brought back kadak.
Mutton Nahari - I tried a bit of the masala and it...read more"
"22","Hyderabad","Jolly Bros & Co.","Murtuza Sid | BeingHydFoodie"
"23","Hyderabad","Jolly Bros & Co.","Follow My Instagram page @BeingHydFoodie :)
.
Jolly Bros & Co is the newest and most happening spot in town, quickly winning hearts with its unique Mumbai-style Parsi-themed café concept. Full of vibrant energy, the place boasts quirky graffiti art on the walls, classic checkered tablecloths, cozy interiors, and a nostalgic nod to vintage Bollywood charm. The food is simple yet exquisitely crafted with love and free from unnecessary fusion, bringing a comforting taste of North Indian cuisine to the South. One of its standout features is the exclusive availability of Pallonji’s, the iconic Parsi soda in its original flavors, making it the only place in town to enjoy this rare treat....read more"
