"No","City","Restaurant","Review"
"1","Madurai","Dindigul Thalappakatti — Since 1957","very worst experience
full of wasted money/ no poriyal , kottu, chappathi was not properly packed?
packing worst I'm not satisfied
really worst experience
I can't upload photo"
"2","Madurai","Dindigul Thalappakatti — Since 1957","Nice food and hospitality. Jenani was doing her work patiently with a smiling face. Recommended for famliy."
"3","Madurai","Dindigul Thalappakatti — Since 1957","???? ????? ?????? ???????? ??? ????? ????? ???? ??????? ???????????? ??????? ???????? ??????? ??????????? ???????? ??? ????? ???? ??? ??? ????? ?????? ????????? ?????????? ????? ???? ???????"
"4","Madurai","Barbeque Nation","A decent barbecue place in madurai i would say, but the spread was less compared to the chennai and Bangalore outlets. Staff are very courteous and polite, service was quick. Need a lot of improvement on the live counters i would say.
Nevertheless a decent place to hangout with friends and family."
"5","Madurai","Barbeque Nation","Mr.manoj & mr.shekhar done her job fabulous
Good service.. Of both.. All foods are best.
My expectation is they want add some more item with these price.. More than that nice ambiance"
"6","Madurai","Barbeque Nation","Excellent anna anikat service was very excellent and ambiance was very excellent totally i give 10/10 and 2000/2000 stars"
"7","Madurai","Barbeque Nation","excellent food and the customer service was amazing
samir hospitality was very good overall a good experience"
"8","Madurai","Amsavalli Bhavan","worst. very small quantity for the given price. taste not bad. poor ambience and service"
"9","Madurai","Amsavalli Bhavan","Not at all worthy of a visit or mention.. tried biryani.. nothing great .. my mom had hyped this so much from when she ate 33 years back.. I’m sad I wasted months dreaming about eating this on my trip"
"10","Madurai","Amsavalli Bhavan","Worst place overhyped by food reviewers and locals. The server will insist on serving the slow moving item after checking with the kitchen. The interior decor is from 80's bar but will still have the same dust and cobwebs."
"11","Madurai","Amsavalli Bhavan","Arun Prakash J J"
"12","Madurai","Amsavalli Bhavan","Taste : Biryani average - not up to mark and Chicken deep fry was horrible.
Quantity : Very less for the price they charge
Ambience : Poor
Service : Poor"
"13","Madurai","Hotel Gowri Krishna Veg","SAI PRASANTH .M"
"14","Madurai","Hotel Gowri Krishna Veg","I have been visiting this hotel since my childhood from the times when it was located in ss colony.
one of the few trust worty place for vegetarian food in madurai"
"15","Madurai","Hotel Gowri Krishna Veg","food is good and tasty"
"16","Madurai","Hotel Gowri Krishna Veg","come to zomato plz. I need zomato facility for this hotel ."
"17","Madurai","Sharief Bhai Biryani","ahmed gay is nice service
mutton dum biryani is best biryani madurai"
"18","Madurai","Sharief Bhai Biryani","really good was very good service is awsome
Mr ahmed"
"19","Madurai","Sharief Bhai Biryani","food was very good but service was very friendly bmr Ahmed"
"20","Madurai","Sharief Bhai Biryani","different menu with all are affordable cost... pathar ghosht must try... polite suggestion staffs in madurai area hotel"
"21","Madurai","Sharief Bhai Biryani","Good Food and Good Service"
"22","Madurai","KFC","no refund.service is very slow and response is also very slow."
"23","Madurai","KFC","service good ?"
"24","Madurai","KFC","Vinod Vp Vp"
"25","Madurai","KFC","Very bad experience in most of the time the restaurant is purposely missing items in delivery like dips. They won't pickup calls also. No refund. Taste also not good, some are over cooked and bad taste of oil."
"26","Madurai","Annapoorna Mithai","One Of the best Vegetarian Restaurant in Madurai.. All the Dishes are best in taste and more in quanity.. I am regular Customer to this Restaurant.. After Having Food , Finally Brownie with Icecream is must ? ?"
"27","Madurai","Annapoorna Mithai","Santosh ji and Sunil ji were really helpful throughout the visit..they both are very polite and provided great service"
"28","Madurai","Annapoorna Mithai","One of the best veg restaurant in Madurai.
It’s heavenly dessert place . You can get a unique dessert and best thali best chaat items best service at one place .
Also they have good ambiance and planting tools everything .

Recently I visit they have a rajasthani dessert ghewar it’s available only on this month for raksha bandan special..so please do visit and enjoy the ghewar .

Also they have a special unique rose dry fruit best rasamalai best savouries…you can ask them they are giving u a sample for taste before u buy.

Madurai makkal r who even visit Madurai must visit Annapoorana mittai and enjoy your food with family and friends"
"29","Madurai","Annapoorna Mithai","Rashmi Priyem Saravanan"
"30","Madurai","Annapoorna Mithai","Awesome food. The quality and taste are soo goood. This is one of the finest North Indian restaurant at Madurai. I always visit this restaurant at least once in 15 days because of their food, sweets and service. Very kind employees. Kudos. ??

Annapoorna should open their branches across Madurai."
"31","Madurai","A2B - Adyar Ananda Bhavan","Third class service, if possible I would have given minus stars. Being from another city, I went there 2 elderly ladies knowing their name.

Waiters were not ready to serve the table despite managers urge. Finally we had leave the place after half an hour of waiting without even been asked for order. Whole other tables were served.

Too much of success have spoiled their attitude."
"32","Madurai","Modern Restaurant","SAI PRASANTH .M"
