"No","City","Restaurant","Review"
"1","Trichy","KFC","Good food I had today staff doing grate job user friendly staff And very neat cleaning Beverge was so good"
"2","Trichy","KFC","Anne Vinogini Divingston"
"3","Trichy","KFC","Food is and all. But it’s more expensive and no offer I would prefer other local restaurants rather than this."
"4","Trichy","KFC","Burger was looked like a tea bun and it was expired chicken was old bad smell total money waste worst kfc"
"5","Trichy","Grill Chicken","Don't buy waste of money,the restaurant only give old chicken,please take the action food department,I will give you a food for food department.thank you"
"6","Trichy","Grill Chicken","Akshaya S Vijayakumar"
"7","Trichy","Cafe Cake Bee","Food was nice .. place is clean ,"
"8","Trichy","Cafe Cake Bee","The restaurant sent white rice instead of cauliflower rice with cajun grilled fish."
"9","Trichy","Cafe Cake Bee","the food is a bit expensive. It is a great place to hangout with friends though, as there is ample seating and good ambience. they also offer a wide range of options."
"10","Trichy","Cafe Cake Bee","worth for money"
"11","Trichy","Cafe Cake Bee","I love the food here. However I find that there is a discrepancy in menu between Swiggy and Zomato. I really like the mexican bowl and protein bowl offered in the restaurant, that doesn't seem to be available in Zomato unfortunately."
"12","Trichy","Dindigul Thalappakatti — Since 1957","very very worst service... this is for the third time for me and my family..
kindly concentrate on customer service..."
"13","Trichy","Dindigul Thalappakatti — Since 1957","worst service ever.
not responding at all.
I have been waiting for my order 2 hours.
even I asked about my order they are not ready to face the customer.
if you can't face the customer need during festivals time why bother taking order.
wasting our time. are you guys playing with us?"
"14","Trichy","Dindigul Thalappakatti — Since 1957","good service
he had treated good
mr vettriselven"
"15","Trichy","Dindigul Thalappakatti — Since 1957","good taste food"
"16","Trichy","Suvai Biryani Family Restaurant","not value for money worst saapadu da boiis .Dont buy bois"
"17","Trichy","Suvai Biryani Family Restaurant","food is so tasty ?"
"18","Trichy","Thamboora Restaurant","Good restaurant with unique dishes"
"19","Trichy","Thamboora Restaurant","Unique Böy Göbïñdä"
"20","Trichy","Thamboora Restaurant","Best Resturant in Town ?"
"21","Trichy","Thamboora Restaurant","Chef Deepak Mhatre"
"22","Trichy","Thamboora Restaurant","The food is delicious, we liked it a lot."
"23","Trichy","Thamboora Restaurant","The place takes longer than average to bring the dishes to table.
The quantity is pretty low for the price point. And the quality doesn't justify the price either.
Simply put, overpriced.

It's a little densely packed place, But the seating is comfortable."
"24","Trichy","BENNE BHAVAN","THE PRICES ARE VERY HIGH. TOO MUCH FOR THE COMMON MAN . EVEN A ABOVE MIDDLE CLASS CANNOT AFFORD ."
"25","Trichy","BENNE BHAVAN","Pathetic restaurant with pathetic service staffs ! Waited for 15 mins to take order and food did not come after 30 mins and left without eating ! Not only us many of the customers were leaving as there was no one to take orders and food did not come after waiting long time !"
"26","Trichy","Ashwin's Veg Restaurant","737 _Sakthi Vel"
"27","Trichy","Sharief Bhai Biryani","I will say this place is not for solo and with friends... They don't have enough space to dine in.. Worst outlet I've ever tried"
"28","Trichy","Sharief Bhai Biryani","Trichy branch is not giving proper response.late reply worst service .I called the manager and gave order 1st he told above 1000 I can deliver after 30mints he is saying not possible guest they are waiting very worts service"
"29","Trichy","Sharief Bhai Biryani","I am a repeated customer used to order soya chap Biriyani but today I found a meat bone in a veg Biriyani. I’ve never expected this from this restaurant. It is unacceptable"
"30","Trichy","Sharief Bhai Biryani","Pls don’t come in hungry for this place . If you come for lunch they will serve dinner only"
"31","Trichy","Ammikal Restaurant","the place is clean, sadly that's the only thing good about the place. the food is average, the service staff are rude and not patient enough to take ur order correct.

coming to the food part l,

for a bill or 2400

we got 4 mediocre mutton biryani and 1 chicken biryani

veg meal was ok ok not great very few basic items nothing great about them.

now the non veg meal, ul get the same veg meal don't expect any non veg on ur plate it's only one fish gravy without the pieces and no papad and sweet apparently non veg meal does not have them.

This place does not have half the items on the menu and no one there can care less about it. it's your fault for ordering things off the menu."
